orgope,mpio_inegi,estado
Agua Potable Alcantarillado y Saneamiento de Tultitlán (APAST),Tultitlán,México
Organismo Descentralizado de Agua Potable Alcantarillado y Saneamiento Valle de Chalco Solidaridad (ODAPAS),Valle de Chalco Solidaridad,México
Comité Municipal de Agua Potable Alcantarillado y Saneamiento del Municipio de Aguililla (COMAPAS),Aguililla,Michoacán de Ocampo
Comité de Agua Potable y Alcantarillado de Charo (CAPA),Charo,Michoacán de Ocampo
Comité de Agua Potable Alcantarillado del Municipio de Erongaricuaro (CAPAME),Erongarícuaro,Michoacán de Ocampo
Sistema de Agua Potable Drenaje y Alcantarillado de Ciudad Hidalgo (SAPA),Hidalgo,Michoacán de Ocampo
Comité de Agua Potable y Alcantarillado del Municipio de Ixtlán Michoacán (CAPAMIM),Ixtlán,Michoacán de Ocampo
Sistema de Agua Potable Alcantarillado y Saneamiento de La Piedad (SAPAS),La Piedad,Michoacán de Ocampo
Comité de Agua Potable y Alcantarillado de Lázaro Cárdenas (CAPALAC),Lázaro Cárdenas,Michoacán de Ocampo
Organismo Operador de Agua Potable Alcantarillado y Saneamiento de Morelia (OOAPAS),Morelia,Michoacán de Ocampo
Pro Mantenimiento del Sistema de Agua Potable Alcantarillado y Saneamiento del Municipio de Pátzcuaro Michoacan (OOAPAS),Pátzcuaro,Michoacán de Ocampo
Organismo Operador de Agua Potable Alcantarillado y Saneamiento de Quiroga (OOAPASQ),Quiroga,Michoacán de Ocampo
Comité de Agua Potable y Alcantarillado del Municipio de Tacámbaro (COMAPA),Tacámbaro,Michoacán de Ocampo
Organismo Operador de Agua Potable Alcantarillado y Saneamiento de Tzintzuntzan (OOAPAS),Tzintzuntzan,Michoacán de Ocampo
Comisión de Agua Potable Alcantarillado y Saneamiento de Uruapan (CAPASU),Uruapan,Michoacán de Ocampo
Sistema de Agua Potable Alcantarillado y Saneamiento de Zacapu (SAPAS),Zacapu,Michoacán de Ocampo
Sistema de Agua Potable y Alcantarillado de Zamora (SAPAZ),Zamora,Michoacán de Ocampo
Sistema Operador de Agua Potable y Saneamiento de Cuautla (SOAPSC),Cuautla,Morelos
Sistema de Agua Potable y Alcantarillado de Cuernavaca (SAPAC),Cuernavaca,Morelos
Sistema de Conservación Agua Potable y Saneamiento de Agua de Emiliano Zapata (SICAPEZ),Emiliano Zapata,Morelos
Sistema de Conservación de Agua Potable y Saneamiento de Jiutepec (SCAPSJ),Jiutepec,Morelos
Sistema de Agua Potable y Saneamiento de Jojutla (SAPSJ),Jojutla,Morelos
Sistema Operador Intermunicipal de Agua y Saneamiento de Tequesquitengo (SOAPT),Jojutla,Morelos
Organismo Operador Municipal de Conservación de Agua Potable de Puente de Ixtla (OOMCAPPI),Puente de Ixtla,Morelos
Sistema de Conservación Agua Potable y Saneamiento de Agua de Temixco Morelos (SCAPSATM),Temixco,Morelos
Sistema Operador de Agua Potable del Ayuntamiento de Tlaltizapán (SOAP),Tlaltizapán,Morelos
Sistema de Agua Potable del Municipio de Xochitepec Morelos (SAPMXO),Xochitepec,Morelos
Sistema de Conservación de Agua Potable y Saneamiento de Zacatepec (SCAPSZ),Zacatepec,Morelos
Organismo Operador Municipal de Agua Potable Alcantarillado y Saneamiento de Acaponeta (OROMAPASA),Acaponeta,Nayarit
Organismo Operador Municipal de Agua Potable y Alcantarillado de Amatlán de Cañas (OROMAPAS),Amatlán de Cañas,Nayarit
Organismo Operador Municipal de Agua Potable Alcantarillado y Saneamiento de Bahía de Banderas (OROMAPAS),Bahía de Banderas,Nayarit
